english,korean
knowledgeable,ad . ( 사람 수식 ) 아는 것이 많은 . 잘 아는
recognize,v . ( 공로 를 ) 인정 하다 : 알아 보다
updated,adj . 최신 의 , 업데이트 된
provide,v . 제공 하다 . 주다
regulation,n . 규제 , 규정
precisely,adv . 정확히
perspective,n . 관점 , 견해 시각
knowledgeably,adv . 박식 하게
knowledge,n . 지식 ( 불가 산 명사 ) : 이해 ( 가산 명사 )
honor,명예 를 주다
realize,인식 하다 확실히 이해 하다
recognition,n . 알아 봄 , 인식 , 인정
recognizable,adj . 인식 할 수 있는 , 알아볼 수 있는
be recognized for,~로 인정 받다
be credited with,~로 인정 받다
in recognition of,~를 인정하여
advertising agency,광고 업체
approaching date,다가오는 날짜
approaching storm,다가오는 폭풍
boarding ticket,탑승권
challenging task,힘든 과제
connecting flight,연결편
declining demand,감소 하는 수요
demanding boss,까다로운 / 힘든 상사
differing/varying opinion,차이 가 나는 의견
developing country,| 개발 도상국가
emerging technology,| 떠오르는 기술
emerging market/company,신흥 시장 / 회사
encouraging remark,격려 의 / 고무 적인 말
existing equipment,기존 장비
increasing pressure,증가 하는 압력
lasting effect/memory,지속적인 효과 / 기억
accomplished mission/musician,성취 된 미션 / 숙달 된 음악가
attached document,첨부 된 문서
celebrated landmarks,유명한 관광 명소
classified ad,구인 [ 구직 ] 광고
combined efforts,결합 된 노력
completed form,작성된 양식 / 문서
customized/personalized products,주문 제작 / 맞춤형 제품
damaged items,손상된 물건
designated area/spots,지정된 지역 / 장소
detailed information,자세한 정보
dedicated/devoted/committed staff,헌신적인 직원
developed country,선진국
disabled/handicapped people,장애인
distinguished/renowned architect,뛰어난 / 유명한 건축가
enclosed document,동봉 된 문서
enclosed parking garage,실내 주차장
lasting impression,지속적인 인상
leading company,일류 / 선도 하는 회사
missing luggage (=misplaced, lost),분실 한 수화물
monitoring system,검열 체계
neighboring area,인근 지역
ongoing matter,진행중인 일
opening/closing remarks,개회사 / 폐회사
ordering procedures,주문 절차
pressing matter,긴박한 문제
promising member,유망한 회원
promising location,유망한 장소
recurring problem,반복 하는 문제
remaining work/employees,남은 일 / 직원 들
rewarding effort,보람 있는 노력
rising/increasing cost,증가 하는 비용
surrounding area,주변 환경
striking agreement,인상적인 합의
overwhelming order,압도적 인 주문
presiding officer,사회자
weakening economy,경제 약세
widening gap,큰 격차
convincing argument,설득력 있는 주장
estimated arrival time,도착 예정 시간
estimated delivery date,예상 배송일
extended working hours,연장 근무 시간
established company,확고한 중견 기업
experienced people,능숙한 사람
featured article/speaker,특집 기사 / 특별 연사
featured attraction/spot,특징 이 되는 장소
finished product,완제품
guided tour,가이드 여행
handcrafted piece,수 제품
limited warranty/items/time,보증 제한 / 제한된 품목 / 시간
newly purchased item,새롭게 구입 한 IT
newly appointed C.E.O.,새롭게 임명 된C.E.O.
preferred means,선호 되는 수단
proposed/suggested plan,제안 된 계획
processed foods,가공 식품
recycled paper,재활용 종이
qualified applicant,적격 인 지원자
selected candidate,선택된 후보
skilled/experienced/seasoned,숙련 된 직원
unbiased advice,편견 없는 조언
updated version/line,업데이트 된 버전 / 제품군
valued customer,가치 있는 고객
written consent/permission,서면 동의 / 허가
written exam,필기 시험
be busy - ing,~ 하느라 바쁘다
be worth - ing,~ 할 가치 가 있다
feel like - ing,~ 하고 싶어 하다
refrain from - ing,삼가다
spend 시간 / 돈 ing,~ 하는 데 ( 시간 / 돈 ) 을 쓰다
prevent prohibit 목 rom - ing,- 하는 것을 막다
have trouble difficulty ing,- 하는 데 어려움 을 겪다
prior to N / Hing,~ 하기 전에
on ( upon ] N / -ing,~ 하자마자
by - ing,~ 함으로써
in -ing,- 함에 있어서
for N / -ing,~ 를 위해 , 대해서
be used to N/-ing,~에 익숙하다
be accustomed to N/-ing,~에 익숙하다
be familiar with,~에 익숙하다
be devoted/dedicated/committed to N/-ing,~에 전념 헌신 기여하다
contribute to N/-ing,~에 기여하다
be opposed to N/-ing,~에 반대하다
object to N/-ing,~에 반대하다
oppose N/-ing,~에 반대하다
be subject to N/-ing,~ 의 대상이다 ~의 영향을 받기 쉽다
be capable of N/-ing,~할 수 있다
be resistant to N/-ing,~에 저항하다 강하다
look forward to N/-ing,~를 기대하다
reply/respond/react to N/-ing,~에 응답하다 반응하다
lead to N / -ing,~ 를 초래 하다 . 야기 하다
object to N / -ing,~ 에 반대 하다
contribute to N / -ing,~ 에 기여 하다
aporeciate -ing,감사 하다
consider - ing,고려 하다
suggest -ing,제안 하다
recommend - ing,추천 하다
advise - ing,조언 , 충고 하다
include -ing,포함 하다
involve -ing,포함 하다
keep - ing,계속 하다
practice - ing,연습 하다
enjoy -ing,즐기다
admit - ing,인정 하다
deny - ing,부인 하다
postpone -ing,연기하다
put off -ing,연기하다
put off-ing,연기하다
discontinue(=quit) -ing,중단하다
finish -ing,끝내다
stop -ing,멈추다
dislike - ing,싫어 하다
mind -ing,꺼리다
avoid -ing,피하다
give up - ing,포기 하다
resist - ing,저항 하다
advertising,광고 ( 업 )
boarding,탑승
spending,지출 , 소비
funding,자금 조달
accounting,회계
housing,주택 ( 공급 )
planning,계획
cleaning,청소
widening,확장 , 확대
processing,처리 / 절차 / 가공
hearing,청각 / 공청회
pricing,가격 책정
opening,공석 , 개막식
staffing,직원 배치
training,훈련
sightseeing,관광
ability to V,- 할 수 있는 능력
plan to V,- 할 계획
initiative to V,- 할 계획
effort to V,하기 위한 노력
way to V,- 할 방법
discussion to V,- 할 수 있다
be about to v,막 ~ 하려고 하다
be willing to V,기꺼이 ~ 하다
be eligible/entitled/qualified to V,할 자격 이 있다
encouraged/urged to V,~ 하도록 권고되다
concentrate,v . 집중 하다
concentrated,농축 된 : 밀집된
concentration,집중 , 전념 농축 , 응축
concentrative,집중적인
concentration on sth,정신 집중 / ( 노력 등 의 ) 집중
concentration of sth,( 무엇이 한 곳에 모이는 ) 집중
outline,v . 윤곽 을 나타내 다 . 개요 를 서술 하다 n . 개요 , 윤곽
quarterly sales,분기 별 매출
attire,의복
result,n . 결과 v.- 로부터 발생 하다 ( from ) : - 을 초래 하다 ( in )
as a result of,- 의 결과 원인
release survey results,설문 결과 를 공개 하다
result in 결과,~ 을 초래 하다
lead to 결과,~ 을 초래 하다
cause 결과,~ 을 초래 하다
result from 원인,- 로부터 발생 하다
markedly,adv . 현저 하게 , 두드러 지게 , 상당히
