thread,실
needle,바늘
pattern,도안 모양
distribute,분배하다
distributor,분배업자 도매상인
for oneself,혼자의 힘으로
feature n v,특징 특징을 이루다
creativity,창조성
blessing phrase,축복을 비는 문구
tend to Root,하는 경향이 있다
celebrate,기념하다
woodcutter,나무꾼
hut,오두막
by signalling,신호로서
indicate,가리키다
gratitude,감사
scold,꾸짖다 비난하다
care for,돌보다
look after,돌보다
longlasting pain,오랫동안 지속되는 통증
natural response,자연스러운 반응
According to,에 따르면
recent study,최근의 연구
do harm,해가 되다
keep going on,계속해서 해나가다
courage,용기
courageous,용기 있는
encourage,격려하다 용기를 주다
encouragement,격려
discourage,실망시키다 낙담시키다
recover,회복하다
benefit,이익
beneficial effect on,에 이로운 영향
activity,활동
inactivity,비 활동
muscle weakness,근육약화
depress,우울하게 만들다
depression,우울증
awesome,멋진 근사한 두려운
awesome trick,멋진 묘기
amazing animal,놀라운 동물
accompany,동반하다 수반하다
a color photograph accompanied by a story,이야기사연 가 동반된 컬러사진 한 장
grand,웅장한
grand prize,대상
include,포함하다
accommodations,숙박
encyclopedia,백과사전
the unique appeal,독특한 매력
slim plates,가느다란 판
enable A to Root A,가 하는 것을 가능하게하다
powerproducing,동력을 발생시키는
device,장치
expert,전문가 숙련가
advanced form,진보된 형태
highly skilled sport,고도로 숙련된 스포츠
soar,하늘로 솟아오르다
obstacle,장애물
census,인구조사
bureau,사무소 국
census bureau,인구조사국
popularity,인기
population,인구
calculate,계산하다
million,억
conduct,수행하다
predict,예측하다
omit,생략하다 누락하다
illegal immigrant,불법이민자
precise,정확한
confident,확신하는
somewhat close,다소 근접한
comic strip,연재만화
remark,말하다 언급하다
mound,투수 마운드
faith,신념 확신
When it comes to ing,에 관한 한
in other words,즉 다시 말해서
as it were,즉 다시 말해서
that is,즉 다시 말해서
the lack of faith,신념확신의 결핍
pursuit,추구
the pursuit of happiness,행복의 추구
demand,요구 수요
realization,실현 현실화
frightened,두려운
scared,두려운
confused,혼란스러운
dogs biting people,사람을 무는 개들
rush into action,즉시 행동에 옮기다
bite bit bitten,물다
in this case,이런 경우에
protect,보호하다
award,상
reward,보상
safety tips,안전 충고수칙
approach,접근하다
lawyer,변호사
commute,통근하다
commuter train,통근기차
CEO,최고경영자
chief executive officer,최고경영자
principle,원리 원칙
daydream,공상에 잠기다
complain,불평하다
complaint,불평
reluctant to Root,마지못해서 하다
be willing to Root,기꺼이 하다
opportunity,기회
behavior,행동 처신
instinct,본능
instinctive,본능적인
play a role,역할을 하다
biological need,생물학적인 욕구
mammal,포유동물
genetic characters,유전적 특성
complex,복잡한
process,과정 절차
enormous,거대한 막대한
tumble,구르다
cafeteria,학교식당구내식당
stair,계단
below me,내 아래
stretch,쭉 뻗다 잡아 늘리다
stare at,빤히 쳐다 보다 응시하다
scrap,까지다 찢어지다
grateful,감사해하는
pleased,기쁜
indifferent,무관심한
embarrassed,당혹해하는 난처한
motorist,자가용 운전수
cigarette butt,담배 공초
food container,음식물 용기
vehicle,탈 것 차량
rubbish,쓰레기
trash,쓰레기
garbage,쓰레기
litter,더럽히다
seriously,심각하게 진지하게
muscles and joints,근육과 관절
flexible,유연한
flexibility,유연성
mobility,움직임
moral,도덕적인
immoral,비도덕적인
morality,도덕성
inform,알리다
reform,개혁하다
perform,수행하다
suffer from,로 고통 받다
differ from,과 다르다
spine,척추
oxygen,산소
internal organ,내장기관 내부 장기
tissue,조직
maintain,유지하다
everyday routine,일상생활
stiff,뻐근한 뻣뻣한
aching back,욱신거리는 등
fasten,고정시키다
horizontally,수평으로
vertically,수직으로
grindgroundground,갈다
grinding device,가는 기계
be used to Root,하는데 사용되어지다
be used to ing,하는데 익숙하다
used to Root,하곤 했다
flour,밀가루
paste,반죽
grain,곡물
mill n v,분쇄기 가루로 만들다
in addition,게다가
attach,붙이다 부착하다
detach,떨어뜨리다 분리하다
the grain jammed,짓눌려진 곡물
groove,홈
concept,개념
care,보살핌
be designed to Root,하도록 고안되어져 있다
comfort,안락 위안
support,지원 지지 지원하다
lifelimiting illness,불치병
no longer,더 이상 이 아니다
respond to,에 반응하다
treatment,치료
human dignity,인간의 존엄성
counseling service,상담서비스
in order to Root,하기 위해서
professional,전문가
deal with,다루다 치료하다
spiritual impact,정신적 충격
emotional,정신적인 감성적인
something complex,복잡한 무엇인가
scribble,갈겨쓰다
necessary,필요한
room to complete,완성할 수 있는 공간
avoid,피하다
