word,category
"functional,adj , 기능 적인 , 작동 하는",TOEIC
"ordinary citizen,일반시민",GTELP
"president,사장",GTELP
"insure,v. *보험을 계약하다, 안전하게 하다*",SUNEUNG
"unlocked,잠기지 않은",GTELP
"difference,차이",GTELP
v. 평탄하게 만들다,SUNEUNG
"developed country,선진국",TOEIC
"retirement,퇴직",GTELP
"eradicate,근절하다, 뿌리뽑다",TOEFL
"haste,n. *급함, 서두름*",SUNEUNG
"keen,열렬한, 예리한, 날카로운",TOEFL
"predecessor,n. *앞서 있었던 것,* 선배, 전임자",SUNEUNG
"combine,결합시키다",TOEFL
"equip,v . ( 장비 를 ) 갖추어 주다",TOEIC
"experiment,실험",GTELP
"distribute A to B,A 를 B 에게 배포 하다",TOEIC
"stroke,n. *뇌졸중,* 강타",SUNEUNG
"advertise,광고하다",GTELP
"portion,n. *일부, 부분*",SUNEUNG
"awake,v. *깨우다, 깨어나다*",SUNEUNG
"slot,n. (자동판매기 따위의) *투입 구멍, 가늘고 길쭉한 구멍*",SUNEUNG
"invention,발명",GTELP
"slacken,느슨하게 만들다, 느슨해지다, 느려지다, 약해지다",TOEFL
"allow,허락하다",GTELP
"sort,분류하다",GTELP
"rob,v. *훔치다, 강탈하다*",SUNEUNG
"rest,나머지",GTELP
"produce,v . 생산 하다 . 제조 하다 명사 n . 농산물 , 농작물",TOEIC
"performance,n . 수행 , 실적 , 성과 공연",TOEIC
"outrage,N. 1. 격분, 분개",TOEFL
"meek,얌전한, 온순한",TOEFL
"technical,a. *기술[기법]의,* 전문적인",SUNEUNG
"protective,adj . 보호 하는 , 보호용 의",TOEIC
"realize,깨닫다",GTELP
"this sorry scenario,이 슬픈 상황",GTELP
"gynecologist,부인과 의사",TOEFL
"be treated as,로 취급되다",GTELP
"realistic style,사실주의적인 양식",GTELP
"treatment,n. *취급, 대우, 치료,* 치료법",SUNEUNG
"wealth,n . 재산 , 부 : 풍부",TOEIC
"scrupulously,양심적으로, 용의주도하게",TOEFL
"counteract,v. (효력을) *중화시키다, 약화시키다*",SUNEUNG
"paperwork,n . 서류 작업 , 문서 업무",TOEIC
"mutually,adv . 서로 , 상호간에",TOEIC
"prejudice,편견",TOEFL
"be used to Root,하는데 사용되어지다",GTELP
"retain,v . 보유 하다 . 유지 하다",TOEIC
"stuff,요소 음식물",GTELP
"remind,v. *생각나게 하다, 상기시키다*",SUNEUNG
"skyscraper,n. *마천루, 고층 건물*",SUNEUNG
"retrieve luggage,수화물 ( 짐 ) 을 찾다",TOEIC
"morale,n. *사기, 의욕*",SUNEUNG
"formidable,겁먹게 하는, 위협적인, 경외감을 갖게 하는",TOEFL
"assistant,n . 조력자 , 조수 , 비서",TOEIC
"deleterious,해로운, 유해한",TOEFL
"savvy,N. (실용적인) 지식, 상식, 요령",TOEFL
v. *접촉하다*,SUNEUNG
"abstract,추상적인",TOEFL
"a handful of,phr . 소수 의 , 소량 의",TOEIC
"initial,adj . 처음 의 , 초기 의 n . 첫 글자 , 머리 글자",TOEIC
"alleviate,완화하다",TOEFL
"ashtray,재떨이",GTELP
"common,흔한",GTELP
"insert,v. *삽입하다*",SUNEUNG
"detrimental,해로운, 불리한",TOEFL
"instantaneous,순간적인, 즉석의",TOEFL
"segregation,n. *인종 차별, 분리*",SUNEUNG
"reliant,의존하는, 의지하는",TOEFL
"gene,n. *유전자*",SUNEUNG
"miserable,비참한, 불행한",TOEFL
"purple,n. *자주색*",SUNEUNG
"carry,운반하다 휴대하다",GTELP
"context,문맥",GTELP
"promulgate,(법, 제도) 공표하다, 널리 알리다",TOEFL
"distinguish,v. *구별하다*",SUNEUNG
"progress,n . 진행 , 진전 : 진보 v . 진행 ( 진전 ] 되다 , ( 시간 이 ) 지나다",TOEIC
"milky,우유가 들어있는",GTELP
"special kind,특별한 종류",GTELP
"attire,의복",TOEIC
"linger,v. *오래 머물다, 계속되다*",SUNEUNG
"advance,v. *나아가게 하다, 진척시키다*",SUNEUNG
"nominate,v . ( 후보자 로 ) 추천 하다 . 임명 하다 . 지정 하다",TOEIC
"throughout,prep . 내내 , ~ 동안 죽",TOEIC
"reproduce,v. *재생하다, 복제하다, 번식하다*",SUNEUNG
"controversial,논란의 여지가 있는",TOEFL
v. *감동[흥분]시키다,SUNEUNG
"payment,n . 결제 , 지불 ( 금 )",TOEIC
"manipulate,조종하다, 조작하다",TOEFL
"celebrity,유명인사, 명성",TOEFL
"bachelor,미혼 남자, 학사",TOEFL
"characteristic,n . 특징",TOEIC
"blend,섞다",TOEFL
n. *울부짖음*,SUNEUNG
"alter,바꾸다, 변경하다",TOEFL
"n. *충돌,* 혹, (도로의) 솟아오른 곳",SUNEUNG
"issue,n. *논란거리, * 발행, 발행물",SUNEUNG
"rosebud,장미 봉오리",GTELP
"instill,(점차적으로) 주입하다",TOEFL
"grievance,N. 불만, 고충(사항)",TOEFL
"tumble,구르다",GTELP
"warrant,n. *보증,* 영장",SUNEUNG
"neighboring area,인근 지역",TOEIC
"nutrition,n. *영양*",SUNEUNG
"regarding,prep.- 에 관하여",TOEIC
"sympton,n. *증상*",SUNEUNG
"convalescence,요양, 회복",TOEFL
"weak,약한",TOEFL
"perstigious,a. *명성이 있는,* 고급의, 일류의",SUNEUNG
"since,prep.- 이래로 conj.- 이래로 : - 때문에 adv . 그 ( 때 ) 이후 로",TOEIC
"prefer,v. *~을 선호하다*",SUNEUNG
"squeeze,짜내다; , 꽉 쥐다",TOEFL
"flat,평평한, 납작한",TOEFL
"grain,n. *곡물, 낟알*",SUNEUNG
"immediate,ad . 즉각적인 , 직접적인",TOEIC
"n. *졸업생, 대학원 학생*",SUNEUNG
"inadequate,부적당한, 불충분한",TOEFL
"cash,현금",GTELP
"surf,n. *파도*",SUNEUNG
"colony,식민지",TOEFL
"scholarship,n. *학문, 장학금*",SUNEUNG
"omit,v. *생략하다, 빼다*",SUNEUNG
"desultory,두서없는, 되는대로, 산만한",TOEFL
"organize,조직하다",GTELP
"dumb,벙어리의, 우둔한",TOEFL
"ongoing matter,진행중인 일",TOEIC
"retail,adj 소매 의 , 소매상 의 n 소매 v . 소매 하다 , ( 특정 가격 에 ) 팔리다",TOEIC
n. *이익*,SUNEUNG
"expense,경비 비용",GTELP
"residual,남은, 잔여의",TOEFL
v. *도박을 하다*,SUNEUNG
"waste,쓰레기",GTELP
"mill n v,분쇄기 가루로 만들다",GTELP
"incompatible,A.양립할 수 없는, 모순된; 조화되지 않는",TOEFL
"warfare,n. *전쟁, 교전 상태*",SUNEUNG
"rent,빌리다",GTELP
"liabilities,부채, 빚",TOEFL
"skepticism,회의, 의심",TOEFL
"flow,v. *흐르다*",SUNEUNG
"decisive,adj . 결정적인 : 결단력 있는",TOEIC
"charitable,자비로운, 관대한",TOEFL
"charity,n. *자비, 자선 단체, 구호물자*",SUNEUNG
"statement,n. *진술, 성명서*",SUNEUNG
"clearly and directly,명확하고 직접적으로",GTELP
"scrutiny,정밀조사",TOEFL
"withstand,v. *견디다*",SUNEUNG
"plan to V,- 할 계획",TOEIC
"resolve,v . 해결 하다 . 풀다",TOEIC
"quote,v. *인용하다*",SUNEUNG
"cultivate,경작하다, 재배하다",TOEFL
v. *환불하다*,SUNEUNG
"congruent,일치하는, 조화하는",TOEFL
"refer to,언급하다 말하다",GTELP
"authentic,a. *진짜의, 진정한*",SUNEUNG
"equilibrium,n. *평형, 균형 (상태)*",SUNEUNG
"approach,접근하다 다가서다",GTELP
"slave,n. *노예*",SUNEUNG
"privatize,민영화하다, 사유화하다",TOEFL
"expert,전문가 숙련가",GTELP
"generous,관대한, 후한",TOEFL
"migrate,이동하다, 이주하다",TOEFL
"imperil,위태롭게 하다, 위험하게 하다",TOEFL
2. 오점이 없는; 결점이 없는,TOEFL
"cancer,암",GTELP
"delighted,아주 기뻐하는",GTELP
"make full use of,을 최대한 이용하다",GTELP
"chilly,a. *쌀쌀한, 냉담한*",SUNEUNG
"dogs biting people,사람을 무는 개들",GTELP
v. *투표하다*,SUNEUNG
"patrol,n. *순찰, 순찰병*",SUNEUNG
"gravity,n. *중력*",SUNEUNG
"mortify,V. 굴욕감을 주다, 창피를 주다",TOEFL
"disappointed,실망한",GTELP
"get along with,와 사이좋게 지내다",GTELP
"district,n . 지구 ( 지역 ) , 구역",TOEIC
"steer,v. *조종하다, 인도하다*",SUNEUNG
"irreconcilable,화해할 수 없는, 조화될 수 없는",TOEFL
"those who,하는 사람들",GTELP
"expose,v . 드러내다 . 노출 시키다",TOEIC
"board,탑승하다",TOEFL
"premier,n . ( 영화 의 ) 개봉 , ( 연극 의 ) 초연 adj. 219 (-top, main, chief). 최초 의 ( = first )",TOEIC
"v. 날이 새다, 이해되기 시작하다",SUNEUNG
"V. *배출하다, 내보내다,* 해고하다",SUNEUNG
"dichotomy,이분법, 양분됨",TOEFL
"invite,v . 초대 하다 . 요청 하다",TOEIC
"detriment,손해, 손상, 상해",TOEFL
"v. *중단하다, 잠시 멈추다*",SUNEUNG
"observance,n . ( 법률 의 ) 준수",TOEIC
"marvelous,놀라운 기적적인",GTELP
"scrutinize,자세히 조사하다",TOEFL
"take a shower,샤워하다",GTELP
"v. *~을 특징으로 하다,* 주연하다",SUNEUNG
